"Nr. of features","Accuracy","Selected features"
3,0.8021978021978022,"Column2,Column7,Column12"
14,0.7692307692307693,"Column1,Column2,Column4,Column5,Column6,Column9,Column12,Column14,Column16,Column17,Column18,Column20,Column21,Column22"
5,0.7582417582417582,"Column5,Column7,Column9,Column13,Column20"
8,0.8131868131868132,"Column3,Column12,Column13,Column15,Column17,Column18,Column21,Column22"
16,0.7582417582417582,"Column1,Column2,Column3,Column4,Column7,Column8,Column9,Column10,Column12,Column13,Column14,Column15,Column16,Column18,Column19,Column21"
5,0.7252747252747253,"Column1,Column3,Column13,Column15,Column21"
1,0.7582417582417582,"Column4"
14,0.8351648351648352,"Column1,Column4,Column5,Column6,Column7,Column8,Column9,Column11,Column14,Column16,Column17,Column19,Column21,Column22"
9,0.7692307692307693,"Column1,Column2,Column3,Column11,Column12,Column14,Column19,Column20,Column22"
19,0.7472527472527473,"Column1,Column2,Column3,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column18,Column19,Column21,Column22"
21,0.7912087912087912,"Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21"
7,0.8351648351648352,"Column5,Column9,Column14,Column19,Column20,Column21,Column22"
13,0.7472527472527473,"Column1,Column3,Column4,Column5,Column6,Column8,Column9,Column10,Column13,Column16,Column19,Column20,Column21"
14,0.7582417582417582,"Column1,Column2,Column3,Column7,Column9,Column10,Column11,Column12,Column13,Column14,Column19,Column20,Column21,Column22"
9,0.6923076923076923,"Column3,Column4,Column6,Column7,Column8,Column10,Column15,Column19,Column21"
1,0.8351648351648352,"Column12"
19,0.8021978021978022,"Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column10,Column11,Column12,Column13,Column14,Column16,Column17,Column18,Column19,Column20,Column21,Column22"
13,0.6703296703296703,"Column1,Column2,Column3,Column5,Column6,Column7,Column9,Column10,Column11,Column15,Column16,Column19,Column21"
7,0.7142857142857143,"Column1,Column10,Column12,Column16,Column19,Column21,Column22"
10,0.8131868131868132,"Column2,Column4,Column5,Column6,Column7,Column8,Column11,Column16,Column19,Column21"
10,0.8351648351648352,"Column1,Column2,Column3,Column4,Column8,Column12,Column13,Column16,Column17,Column18"
14,0.8241758241758241,"Column1,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column14,Column16,Column17,Column18,Column22"
15,0.8351648351648352,"Column1,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column12,Column14,Column15,Column18,Column20,Column21"
3,0.7802197802197802,"Column1,Column5,Column17"
17,0.8681318681318682,"Column1,Column2,Column4,Column5,Column6,Column7,Column8,Column10,Column11,Column12,Column13,Column15,Column16,Column17,Column18,Column20,Column21"
20,0.7912087912087912,"Column1,Column2,Column3,Column4,Column5,Column7,Column8,Column9,Column10,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22"
20,0.7252747252747253,"Column1,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22"
