Nr. of features,Accuracy,Selected features
18,0.945054945,"Column1,Column3,Column4,Column5,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column18,Column19,Column21,Column22"
20,0.912087912,"Column1,Column2,Column3,Column4,Column5,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22"
19,0.879120879,"Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column16,Column17,Column18,Column19,Column20,Column21"
13,0.879120879,"Column3,Column4,Column5,Column8,Column9,Column10,Column12,Column13,Column14,Column15,Column18,Column19,Column22"
21,0.879120879,"Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22"
19,0.879120879,"Column1,Column2,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22"
17,0.868131868,"Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column9,Column10,Column11,Column12,Column13,Column14,Column16,Column17,Column18,Column22"
19,0.868131868,"Column1,Column3,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column20,Column21,Column22"
14,0.868131868,"Column1,Column2,Column4,Column5,Column7,Column9,Column10,Column13,Column16,Column17,Column18,Column19,Column21,Column22"
7,0.868131868,"Column2,Column7,Column8,Column13,Column14,Column18,Column19"
15,0.868131868,"Column2,Column3,Column4,Column5,Column7,Column9,Column10,Column12,Column13,Column15,Column16,Column18,Column20,Column21,Column22"
12,0.868131868,"Column2,Column3,Column8,Column9,Column11,Column12,Column13,Column16,Column17,Column20,Column21,Column22"
9,0.857142857,"Column1,Column2,Column6,Column7,Column8,Column11,Column16,Column20,Column21"
21,0.857142857,"Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22"
12,0.857142857,"Column4,Column5,Column9,Column10,Column11,Column13,Column16,Column17,Column18,Column20,Column21,Column22"
11,0.857142857,"Column1,Column4,Column9,Column10,Column13,Column14,Column15,Column16,Column18,Column19,Column21"
17,0.846153846,"Column1,Column2,Column4,Column6,Column7,Column8,Column10,Column11,Column12,Column13,Column14,Column15,Column17,Column18,Column20,Column21,Column22"
20,0.846153846,"Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22"
2,0.846153846,"Column2,Column5"
1,0.846153846,Column13
13,0.846153846,"Column1,Column4,Column7,Column8,Column9,Column11,Column12,Column13,Column16,Column17,Column18,Column20,Column21"
11,0.846153846,"Column2,Column3,Column5,Column7,Column9,Column10,Column11,Column12,Column15,Column18,Column22"
9,0.846153846,"Column2,Column4,Column5,Column6,Column7,Column11,Column16,Column19,Column20"
14,0.846153846,"Column1,Column2,Column4,Column5,Column8,Column10,Column12,Column14,Column15,Column16,Column17,Column19,Column20,Column21"
15,0.835164835,"Column1,Column2,Column3,Column4,Column5,Column6,Column8,Column9,Column11,Column12,Column14,Column17,Column18,Column21,Column22"
13,0.835164835,"Column3,Column7,Column10,Column11,Column12,Column13,Column14,Column15,Column17,Column18,Column20,Column21,Column22"
11,0.835164835,"Column2,Column4,Column5,Column6,Column7,Column9,Column15,Column16,Column17,Column18,Column19"
17,0.835164835,"Column3,Column4,Column5,Column7,Column8,Column9,Column10,Column11,Column12,Column14,Column16,Column17,Column18,Column19,Column20,Column21,Column22"
13,0.835164835,"Column2,Column4,Column6,Column9,Column10,Column11,Column12,Column15,Column16,Column17,Column18,Column20,Column22"
21,0.835164835,"Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22"
2,0.835164835,"Column13,Column15"
2,0.835164835,"Column8,Column15"
3,0.835164835,"Column8,Column18,Column19"
3,0.835164835,"Column7,Column10,Column19"
17,0.835164835,"Column1,Column2,Column3,Column4,Column6,Column8,Column10,Column11,Column12,Column13,Column14,Column16,Column17,Column18,Column19,Column20,Column21"
21,0.835164835,"Column1,Column2,Column3,Column4,Column5,Column6,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22"
3,0.835164835,"Column7,Column10,Column11"
9,0.835164835,"Column1,Column7,Column8,Column9,Column10,Column11,Column13,Column15,Column18"
8,0.835164835,"Column2,Column5,Column7,Column17,Column18,Column19,Column20,Column21"
14,0.824175824,"Column3,Column4,Column5,Column6,Column8,Column9,Column12,Column13,Column15,Column17,Column18,Column19,Column20,Column22"
10,0.824175824,"Column2,Column4,Column7,Column9,Column10,Column12,Column13,Column15,Column18,Column19"
13,0.824175824,"Column3,Column4,Column6,Column7,Column8,Column9,Column11,Column12,Column14,Column16,Column18,Column20,Column22"
3,0.824175824,"Column9,Column10,Column12"
5,0.824175824,"Column5,Column6,Column13,Column17,Column22"
17,0.824175824,"Column1,Column2,Column3,Column4,Column6,Column7,Column8,Column9,Column11,Column13,Column14,Column15,Column16,Column18,Column19,Column21,Column22"
16,0.824175824,"Column2,Column4,Column5,Column7,Column9,Column10,Column12,Column13,Column14,Column15,Column17,Column18,Column19,Column20,Column21,Column22"
12,0.824175824,"Column2,Column4,Column5,Column9,Column10,Column12,Column14,Column15,Column16,Column17,Column18,Column19"
6,0.824175824,"Column2,Column3,Column11,Column14,Column15,Column16"
18,0.824175824,"Column1,Column2,Column3,Column4,Column5,Column6,Column9,Column10,Column11,Column12,Column13,Column14,Column16,Column17,Column18,Column20,Column21,Column22"
4,0.824175824,"Column6,Column7,Column10,Column11"
1,0.824175824,Column17
10,0.824175824,"Column1,Column3,Column4,Column8,Column11,Column12,Column15,Column16,Column17,Column18"
1,0.824175824,Column10
11,0.824175824,"Column2,Column4,Column5,Column6,Column7,Column9,Column12,Column14,Column16,Column18,Column20"
21,0.824175824,"Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column17,Column18,Column19,Column20,Column21,Column22"
17,0.824175824,"Column1,Column2,Column3,Column4,Column5,Column9,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column22"
9,0.813186813,"Column1,Column6,Column8,Column12,Column13,Column14,Column18,Column20,Column21"
9,0.813186813,"Column1,Column3,Column4,Column13,Column15,Column16,Column17,Column20,Column22"
14,0.813186813,"Column1,Column2,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column12,Column13,Column14,Column18,Column20"
16,0.813186813,"Column2,Column4,Column5,Column7,Column8,Column9,Column10,Column12,Column13,Column14,Column15,Column17,Column18,Column19,Column21,Column22"
10,0.813186813,"Column2,Column4,Column5,Column6,Column10,Column12,Column13,Column17,Column19,Column20"
6,0.813186813,"Column2,Column3,Column11,Column12,Column18,Column22"
17,0.813186813,"Column1,Column2,Column3,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column16,Column17,Column18,Column19,Column20,Column21"
7,0.813186813,"Column1,Column3,Column4,Column5,Column11,Column14,Column21"
13,0.802197802,"Column2,Column4,Column6,Column7,Column8,Column9,Column11,Column12,Column13,Column15,Column17,Column18,Column21"
16,0.802197802,"Column3,Column4,Column5,Column6,Column7,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column19,Column20,Column21"
19,0.802197802,"Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column9,Column10,Column11,Column12,Column13,Column14,Column16,Column17,Column19,Column20,Column21,Column22"
9,0.802197802,"Column5,Column7,Column12,Column15,Column17,Column18,Column19,Column21,Column22"
6,0.802197802,"Column4,Column8,Column15,Column16,Column18,Column21"
18,0.802197802,"Column1,Column2,Column3,Column4,Column5,Column7,Column8,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column19,Column20,Column22"
3,0.802197802,"Column2,Column7,Column16"
12,0.802197802,"Column2,Column4,Column6,Column8,Column9,Column11,Column12,Column14,Column15,Column17,Column18,Column20"
15,0.802197802,"Column1,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column12,Column13,Column15,Column18,Column20,Column21"
20,0.802197802,"Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22"
18,0.802197802,"Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column10,Column12,Column13,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22"
9,0.802197802,"Column2,Column6,Column8,Column11,Column15,Column16,Column17,Column19,Column20"
7,0.802197802,"Column4,Column11,Column13,Column17,Column18,Column20,Column22"
7,0.802197802,"Column8,Column10,Column12,Column15,Column16,Column19,Column21"
16,0.802197802,"Column1,Column2,Column3,Column4,Column5,Column6,Column8,Column9,Column12,Column13,Column15,Column16,Column18,Column20,Column21,Column22"
20,0.802197802,"Column1,Column2,Column3,Column4,Column6,Column7,Column8,Column9,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22"
5,0.802197802,"Column1,Column2,Column12,Column17,Column19"
1,0.802197802,Column15
1,0.802197802,Column2
14,0.791208791,"Column1,Column2,Column4,Column5,Column7,Column8,Column10,Column11,Column12,Column13,Column14,Column16,Column18,Column22"
5,0.791208791,"Column4,Column11,Column12,Column13,Column21"
20,0.791208791,"Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column22"
22,0.791208791,"Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22"
5,0.791208791,"Column3,Column4,Column7,Column10,Column15"
10,0.791208791,"Column2,Column3,Column4,Column8,Column11,Column12,Column13,Column17,Column19,Column20"
19,0.791208791,"Column1,Column2,Column3,Column4,Column6,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column18,Column19,Column20,Column21,Column22"
17,0.791208791,"Column1,Column3,Column4,Column5,Column6,Column7,Column8,Column10,Column11,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20"
2,0.791208791,"Column10,Column12"
19,0.791208791,"Column2,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column17,Column18,Column19,Column20,Column21,Column22"
16,0.791208791,"Column1,Column2,Column3,Column4,Column5,Column6,Column8,Column9,Column10,Column11,Column16,Column17,Column18,Column19,Column20,Column21"
2,0.791208791,"Column17,Column19"
18,0.791208791,"Column1,Column2,Column3,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column13,Column14,Column15,Column16,Column17,Column19,Column20,Column22"
2,0.791208791,"Column5,Column10"
19,0.791208791,"Column1,Column2,Column3,Column4,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column17,Column18,Column19,Column20,Column21"
7,0.791208791,"Column5,Column11,Column13,Column17,Column18,Column19,Column22"
10,0.791208791,"Column4,Column5,Column9,Column10,Column13,Column15,Column17,Column19,Column20,Column22"
6,0.791208791,"Column4,Column6,Column8,Column9,Column17,Column20"
9,0.791208791,"Column1,Column3,Column4,Column6,Column9,Column17,Column18,Column20,Column22"
18,0.791208791,"Column1,Column2,Column3,Column4,Column5,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column17,Column18,Column19,Column22"
6,0.791208791,"Column5,Column11,Column13,Column15,Column19,Column21"
5,0.78021978,"Column9,Column10,Column14,Column15,Column21"
15,0.78021978,"Column1,Column2,Column3,Column4,Column6,Column7,Column10,Column13,Column14,Column15,Column17,Column18,Column19,Column20,Column21"
7,0.78021978,"Column3,Column4,Column9,Column12,Column13,Column18,Column22"
19,0.78021978,"Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column17,Column18,Column19,Column21,Column22"
