"Nr. of features","Accuracy","Selected features"
5,0.7692307692307693,"Column2,Column3,Column10,Column11,Column12"
17,0.7802197802197802,"Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column11,Column13,Column15,Column16,Column17,Column18,Column19,Column20,Column22"
5,0.8241758241758241,"Column12,Column13,Column14,Column15,Column21"
11,0.8021978021978022,"Column1,Column2,Column4,Column5,Column6,Column7,Column9,Column12,Column13,Column16,Column17"
18,0.8351648351648352,"Column2,Column3,Column4,Column6,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column18,Column19,Column20,Column21,Column22"
3,0.7692307692307693,"Column13,Column14,Column21"
14,0.8241758241758241,"Column3,Column4,Column6,Column7,Column8,Column12,Column13,Column15,Column16,Column17,Column18,Column19,Column20,Column21"
18,0.7802197802197802,"Column1,Column2,Column3,Column7,Column8,Column9,Column10,Column11,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22"
7,0.7362637362637363,"Column4,Column5,Column9,Column11,Column15,Column20,Column22"
16,0.8021978021978022,"Column1,Column3,Column4,Column5,Column7,Column8,Column9,Column11,Column12,Column14,Column15,Column16,Column17,Column19,Column20,Column22"
14,0.8241758241758241,"Column1,Column4,Column6,Column7,Column8,Column9,Column11,Column12,Column13,Column15,Column16,Column18,Column20,Column21"
3,0.7582417582417582,"Column9,Column17,Column21"
21,0.7582417582417582,"Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21"
5,0.7472527472527473,"Column5,Column13,Column15,Column20,Column21"
5,0.8021978021978022,"Column2,Column3,Column6,Column18,Column21"
14,0.8241758241758241,"Column1,Column2,Column4,Column5,Column6,Column9,Column10,Column11,Column13,Column14,Column17,Column18,Column19,Column21"
19,0.8351648351648352,"Column1,Column2,Column3,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column15,Column16,Column17,Column18,Column19,Column20,Column22"
16,0.7252747252747253,"Column1,Column2,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column12,Column13,Column14,Column16,Column20,Column21,Column22"
15,0.8241758241758241,"Column1,Column2,Column5,Column6,Column7,Column8,Column10,Column11,Column12,Column13,Column15,Column16,Column17,Column18,Column19"
11,0.7912087912087912,"Column1,Column3,Column4,Column5,Column7,Column8,Column9,Column10,Column19,Column20,Column22"
19,0.8681318681318682,"Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column13,Column14,Column17,Column18,Column19,Column20,Column21,Column22"
6,0.7472527472527473,"Column1,Column9,Column11,Column14,Column15,Column18"
4,0.7032967032967034,"Column5,Column12,Column13,Column21"
16,0.8241758241758241,"Column1,Column2,Column3,Column4,Column5,Column6,Column8,Column10,Column12,Column13,Column14,Column16,Column17,Column18,Column19,Column21"
19,0.7802197802197802,"Column1,Column3,Column4,Column5,Column6,Column7,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column21,Column22"
15,0.8021978021978022,"Column1,Column2,Column3,Column4,Column6,Column8,Column9,Column11,Column14,Column16,Column17,Column18,Column19,Column20,Column21"
