"Nr. of features","Accuracy","Selected features"
3,0.7582417582417582,"Column4,Column5,Column15"
21,0.7472527472527473,"Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22"
14,0.8241758241758241,"Column1,Column2,Column3,Column6,Column9,Column10,Column11,Column12,Column16,Column18,Column19,Column20,Column21,Column22"
18,0.7912087912087912,"Column1,Column2,Column4,Column6,Column7,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22"
18,0.8021978021978022,"Column1,Column3,Column4,Column5,Column6,Column7,Column9,Column10,Column11,Column12,Column14,Column16,Column17,Column18,Column19,Column20,Column21,Column22"
11,0.8461538461538461,"Column1,Column2,Column3,Column4,Column7,Column9,Column12,Column13,Column16,Column20,Column22"
1,0.7252747252747253,"Column10"
4,0.8351648351648352,"Column12,Column14,Column15,Column19"
10,0.8681318681318682,"Column4,Column7,Column8,Column9,Column10,Column11,Column14,Column20,Column21,Column22"
13,0.8681318681318682,"Column1,Column2,Column3,Column7,Column8,Column9,Column11,Column16,Column17,Column19,Column20,Column21,Column22"
18,0.7692307692307693,"Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column11,Column12,Column13,Column14,Column16,Column18,Column19,Column20,Column21"
4,0.7802197802197802,"Column14,Column15,Column20,Column21"
8,0.7362637362637363,"Column2,Column3,Column12,Column16,Column17,Column19,Column20,Column21"
2,0.8021978021978022,"Column4,Column13"
9,0.7912087912087912,"Column4,Column5,Column6,Column8,Column9,Column12,Column16,Column18,Column22"
19,0.7472527472527473,"Column1,Column2,Column3,Column4,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column16,Column17,Column18,Column19,Column20,Column21"
5,0.7802197802197802,"Column1,Column2,Column5,Column13,Column21"
9,0.7692307692307693,"Column2,Column3,Column4,Column6,Column7,Column9,Column12,Column13,Column17"
21,0.7692307692307693,"Column1,Column2,Column3,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22"
3,0.8681318681318682,"Column5,Column16,Column17"
13,0.7912087912087912,"Column1,Column5,Column7,Column8,Column9,Column11,Column12,Column13,Column14,Column15,Column17,Column18,Column22"
6,0.8461538461538461,"Column1,Column3,Column5,Column11,Column17,Column22"
19,0.8241758241758241,"Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column10,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22"
1,0.8021978021978022,"Column13"
2,0.7802197802197802,"Column14,Column20"
11,0.8461538461538461,"Column1,Column3,Column6,Column7,Column8,Column11,Column17,Column18,Column20,Column21,Column22"
11,0.8461538461538461,"Column1,Column3,Column5,Column6,Column10,Column13,Column15,Column17,Column18,Column19,Column22"
18,0.8351648351648352,"Column1,Column2,Column3,Column5,Column6,Column7,Column8,Column9,Column11,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column22"
6,0.7912087912087912,"Column1,Column4,Column5,Column6,Column7,Column13"
12,0.8351648351648352,"Column2,Column3,Column5,Column8,Column9,Column11,Column12,Column13,Column14,Column17,Column21,Column22"
5,0.8021978021978022,"Column13,Column15,Column16,Column18,Column19"
