"Nr. of features","Accuracy","Selected features"
10,0.7666666666666667,"Column1,Column2,Column5,Column7,Column10,Column12,Column13,Column18,Column20,Column21"
19,0.7333333333333333,"Column1,Column2,Column3,Column6,Column7,Column8,Column9,Column10,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22"
13,0.7692307692307693,"Column1,Column2,Column3,Column6,Column8,Column9,Column11,Column12,Column14,Column15,Column16,Column17,Column20"
11,0.7362637362637363,"Column1,Column2,Column3,Column5,Column6,Column10,Column14,Column15,Column16,Column18,Column22"
14,0.7111111111111111,"Column1,Column2,Column3,Column4,Column6,Column7,Column8,Column9,Column10,Column12,Column13,Column16,Column20,Column22"
17,0.7752808988764045,"Column1,Column2,Column4,Column5,Column6,Column7,Column8,Column10,Column11,Column12,Column13,Column15,Column17,Column18,Column20,Column21,Column22"
13,0.7692307692307693,"Column1,Column2,Column3,Column4,Column5,Column9,Column10,Column14,Column15,Column19,Column20,Column21,Column22"
6,0.8131868131868132,"Column1,Column6,Column8,Column11,Column15,Column22"
20,0.7241379310344828,"Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22"
15,0.7142857142857143,"Column1,Column3,Column5,Column7,Column8,Column10,Column12,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column22"
9,0.7692307692307693,"Column1,Column6,Column7,Column8,Column9,Column10,Column15,Column17,Column18"
11,0.8351648351648352,"Column1,Column2,Column4,Column5,Column6,Column11,Column13,Column16,Column17,Column18,Column19"
3,0.8241758241758241,"Column2,Column9,Column19"
13,0.7045454545454546,"Column1,Column2,Column3,Column5,Column6,Column8,Column12,Column15,Column18,Column19,Column20,Column21,Column22"
10,0.6813186813186813,"Column1,Column5,Column11,Column13,Column14,Column16,Column18,Column19,Column20,Column22"
18,0.6593406593406593,"Column1,Column2,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column15,Column17,Column18,Column19,Column20,Column21,Column22"
7,0.8131868131868132,"Column2,Column3,Column5,Column8,Column9,Column17,Column20"
1,0.7912087912087912,"Column5"
14,0.7692307692307693,"Column3,Column4,Column5,Column6,Column8,Column9,Column12,Column13,Column15,Column16,Column18,Column19,Column21,Column22"
16,0.8021978021978022,"Column3,Column4,Column5,Column7,Column8,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column20,Column21"
20,0.7386363636363636,"Column1,Column2,Column3,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column19,Column20,Column21,Column22"
20,0.7252747252747253,"Column1,Column2,Column3,Column4,Column5,Column6,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column20,Column21,Column22"
7,0.7142857142857143,"Column3,Column4,Column7,Column8,Column10,Column13,Column19"
19,0.7472527472527473,"Column1,Column2,Column3,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column21,Column22"
12,0.8131868131868132,"Column1,Column2,Column4,Column7,Column9,Column12,Column13,Column15,Column17,Column18,Column19,Column22"
7,0.7692307692307693,"Column5,Column6,Column7,Column11,Column14,Column18,Column20"
18,0.7252747252747253,"Column1,Column2,Column3,Column5,Column6,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20"
10,0.7912087912087912,"Column1,Column2,Column3,Column7,Column8,Column9,Column11,Column14,Column17,Column21"
3,0.7252747252747253,"Column4,Column7,Column8"
22,0.7640449438202247,"Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22"
5,0.7582417582417582,"Column4,Column9,Column16,Column20,Column22"
5,0.7802197802197802,"Column3,Column5,Column15,Column18,Column22"
9,0.6923076923076923,"Column2,Column4,Column5,Column7,Column8,Column9,Column13,Column16,Column21"
8,0.8021978021978022,"Column1,Column2,Column5,Column6,Column9,Column17,Column18,Column20"
3,0.7032967032967034,"Column9,Column15,Column18"
15,0.8351648351648352,"Column2,Column3,Column4,Column6,Column7,Column9,Column10,Column11,Column13,Column14,Column15,Column17,Column19,Column20,Column22"
6,0.8351648351648352,"Column1,Column3,Column11,Column14,Column18,Column20"
13,0.7032967032967034,"Column1,Column3,Column5,Column8,Column9,Column10,Column12,Column14,Column15,Column16,Column18,Column19,Column20"
7,0.7912087912087912,"Column2,Column4,Column6,Column11,Column12,Column18,Column19"
18,0.7954545454545454,"Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column19,Column22"
4,0.7912087912087912,"Column1,Column2,Column4,Column9"
6,0.8021978021978022,"Column3,Column6,Column7,Column13,Column19,Column20"
13,0.7,"Column1,Column3,Column4,Column5,Column6,Column7,Column10,Column12,Column13,Column18,Column19,Column20,Column21"
10,0.7362637362637363,"Column4,Column5,Column8,Column9,Column10,Column14,Column15,Column17,Column18,Column19"
14,0.7840909090909091,"Column1,Column2,Column3,Column6,Column8,Column13,Column14,Column15,Column16,Column18,Column19,Column20,Column21,Column22"
19,0.7472527472527473,"Column1,Column2,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column17,Column18,Column20,Column21,Column22"
3,0.8131868131868132,"Column9,Column15,Column16"
19,0.7386363636363636,"Column1,Column2,Column3,Column4,Column5,Column7,Column8,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column21,Column22"
18,0.8222222222222222,"Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column17,Column18,Column19,Column20,Column21,Column22"
7,0.7252747252747253,"Column2,Column3,Column7,Column9,Column11,Column20,Column21"
13,0.7222222222222222,"Column2,Column4,Column6,Column8,Column9,Column10,Column12,Column13,Column17,Column18,Column20,Column21,Column22"
4,0.8461538461538461,"Column4,Column12,Column17,Column22"
2,0.8351648351648352,"Column3,Column13"
7,0.7472527472527473,"Column2,Column6,Column13,Column15,Column17,Column19,Column21"
19,0.7816091954022989,"Column2,Column3,Column4,Column5,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column18,Column19,Column20,Column21,Column22"
7,0.7802197802197802,"Column1,Column12,Column13,Column15,Column17,Column19,Column21"
14,0.8021978021978022,"Column3,Column5,Column6,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column19,Column20,Column21"
4,0.7692307692307693,"Column1,Column2,Column5,Column7"
2,0.7472527472527473,"Column4,Column22"
13,0.8666666666666667,"Column1,Column2,Column4,Column6,Column7,Column9,Column10,Column11,Column13,Column15,Column16,Column17,Column20"
2,0.7692307692307693,"Column15,Column17"
18,0.7303370786516854,"Column1,Column2,Column3,Column4,Column7,Column8,Column9,Column10,Column11,Column12,Column14,Column15,Column16,Column17,Column18,Column20,Column21,Column22"
13,0.7362637362637363,"Column1,Column2,Column4,Column5,Column7,Column10,Column12,Column13,Column14,Column15,Column16,Column21,Column22"
9,0.8021978021978022,"Column1,Column5,Column6,Column8,Column9,Column14,Column15,Column17,Column22"
4,0.8681318681318682,"Column2,Column4,Column6,Column22"
6,0.7362637362637363,"Column1,Column2,Column6,Column9,Column16,Column20"
7,0.8021978021978022,"Column3,Column6,Column10,Column12,Column13,Column16,Column20"
19,0.8351648351648352,"Column1,Column2,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22"
4,0.6923076923076923,"Column1,Column6,Column18,Column21"
15,0.8571428571428571,"Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column10,Column12,Column16,Column17,Column19,Column20,Column21,Column22"
6,0.8681318681318682,"Column4,Column8,Column10,Column11,Column14,Column15"
15,0.7472527472527473,"Column2,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column14,Column17,Column18,Column19,Column20,Column22"
