"Nr. of features","Accuracy","Selected features"
7,0.8777777777777778,"Column3,Column10,Column13,Column15,Column17,Column18,Column22"
7,0.7582417582417582,"Column4,Column5,Column8,Column10,Column12,Column15,Column18"
11,0.7362637362637363,"Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column16,Column21,Column22"
20,0.8181818181818182,"Column1,Column2,Column3,Column4,Column5,Column6,Column8,Column9,Column10,Column11,Column12,Column13,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22"
10,0.7802197802197802,"Column2,Column3,Column4,Column5,Column7,Column9,Column16,Column17,Column19,Column21"
18,0.7752808988764045,"Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column15,Column17,Column19,Column20,Column21,Column22"
15,0.6923076923076923,"Column1,Column5,Column7,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column19,Column20,Column21,Column22"
17,0.7582417582417582,"Column1,Column2,Column3,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column18,Column19,Column20,Column21,Column22"
15,0.7032967032967034,"Column1,Column3,Column4,Column5,Column7,Column8,Column10,Column11,Column12,Column13,Column16,Column17,Column19,Column20,Column21"
13,0.7528089887640449,"Column1,Column2,Column3,Column4,Column6,Column8,Column11,Column15,Column16,Column17,Column18,Column19,Column21"
7,0.7252747252747253,"Column8,Column10,Column11,Column16,Column17,Column18,Column22"
5,0.8131868131868132,"Column3,Column5,Column7,Column10,Column19"
15,0.7362637362637363,"Column3,Column4,Column5,Column6,Column7,Column8,Column10,Column11,Column13,Column14,Column15,Column16,Column18,Column19,Column21"
21,0.7752808988764045,"Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22"
1,0.7912087912087912,"Column5"
6,0.7912087912087912,"Column1,Column6,Column13,Column17,Column20,Column22"
19,0.7191011235955056,"Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column12,Column13,Column14,Column16,Column17,Column18,Column20,Column21,Column22"
16,0.7111111111111111,"Column1,Column2,Column3,Column4,Column7,Column8,Column9,Column10,Column11,Column12,Column15,Column16,Column17,Column19,Column20,Column22"
2,0.7362637362637363,"Column11,Column14"
16,0.7555555555555555,"Column3,Column4,Column6,Column7,Column8,Column9,Column11,Column12,Column13,Column14,Column15,Column16,Column18,Column19,Column20,Column21"
16,0.7111111111111111,"Column1,Column3,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column16,Column18,Column19,Column20,Column21"
18,0.7444444444444445,"Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column20,Column21,Column22"
1,0.8021978021978022,"Column12"
17,0.8131868131868132,"Column1,Column3,Column4,Column5,Column6,Column8,Column9,Column10,Column11,Column12,Column14,Column15,Column16,Column17,Column18,Column20,Column21"
20,0.7640449438202247,"Column1,Column2,Column3,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22"
18,0.7222222222222222,"Column2,Column3,Column4,Column6,Column7,Column8,Column9,Column11,Column12,Column13,Column14,Column16,Column17,Column18,Column19,Column20,Column21,Column22"
21,0.7692307692307693,"Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column18,Column19,Column20,Column21,Column22"
20,0.7472527472527473,"Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column13,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22"
11,0.7777777777777778,"Column1,Column2,Column3,Column5,Column7,Column8,Column12,Column13,Column14,Column15,Column16"
12,0.7444444444444445,"Column2,Column3,Column4,Column5,Column6,Column7,Column10,Column11,Column15,Column19,Column20,Column22"
16,0.7272727272727273,"Column1,Column2,Column3,Column5,Column6,Column7,Column8,Column10,Column12,Column14,Column15,Column16,Column18,Column19,Column20,Column21"
9,0.7252747252747253,"Column1,Column2,Column3,Column5,Column6,Column8,Column11,Column19,Column21"
13,0.7692307692307693,"Column2,Column6,Column7,Column9,Column11,Column12,Column14,Column15,Column17,Column18,Column19,Column20,Column21"
10,0.7582417582417582,"Column8,Column9,Column11,Column12,Column14,Column16,Column17,Column18,Column21,Column22"
14,0.6666666666666666,"Column1,Column3,Column4,Column5,Column6,Column8,Column9,Column10,Column13,Column15,Column17,Column20,Column21,Column22"
17,0.7528089887640449,"Column1,Column3,Column4,Column6,Column7,Column9,Column10,Column11,Column12,Column13,Column14,Column16,Column17,Column18,Column19,Column20,Column21"
17,0.7802197802197802,"Column1,Column2,Column3,Column4,Column6,Column7,Column9,Column11,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21"
14,0.8409090909090909,"Column1,Column3,Column4,Column6,Column9,Column10,Column11,Column12,Column14,Column15,Column17,Column18,Column20,Column21"
18,0.7472527472527473,"Column1,Column2,Column3,Column4,Column6,Column7,Column8,Column11,Column12,Column13,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22"
9,0.7472527472527473,"Column3,Column4,Column5,Column8,Column13,Column14,Column15,Column17,Column20"
13,0.7692307692307693,"Column2,Column4,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column15,Column16,Column18,Column20"
22,0.7802197802197802,"Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22"
4,0.8351648351648352,"Column10,Column13,Column14,Column18"
18,0.7582417582417582,"Column1,Column2,Column3,Column4,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column20,Column21,Column22"
1,0.7582417582417582,"Column1"
1,0.8351648351648352,"Column19"
7,0.7362637362637363,"Column5,Column6,Column8,Column9,Column13,Column18,Column19"
12,0.7472527472527473,"Column1,Column2,Column5,Column6,Column9,Column12,Column14,Column16,Column18,Column19,Column20,Column22"
14,0.8241758241758241,"Column1,Column2,Column4,Column5,Column7,Column9,Column10,Column11,Column12,Column13,Column14,Column16,Column21,Column22"
15,0.8023255813953488,"Column3,Column4,Column5,Column6,Column8,Column10,Column11,Column12,Column13,Column14,Column15,Column17,Column18,Column19,Column21"
2,0.8351648351648352,"Column1,Column8"
20,0.7032967032967034,"Column1,Column2,Column3,Column4,Column5,Column7,Column8,Column9,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22"
7,0.7252747252747253,"Column2,Column5,Column12,Column16,Column19,Column20,Column22"
4,0.7472527472527473,"Column2,Column4,Column7,Column22"
6,0.7692307692307693,"Column3,Column7,Column11,Column16,Column18,Column21"
1,0.7692307692307693,"Column16"
21,0.7555555555555555,"Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22"
13,0.7640449438202247,"Column1,Column2,Column3,Column6,Column7,Column8,Column10,Column11,Column13,Column16,Column17,Column20,Column22"
17,0.7802197802197802,"Column2,Column4,Column5,Column6,Column7,Column8,Column9,Column11,Column12,Column13,Column14,Column15,Column17,Column18,Column20,Column21,Column22"
11,0.7666666666666667,"Column2,Column4,Column5,Column7,Column8,Column9,Column12,Column14,Column16,Column17,Column18"
2,0.7252747252747253,"Column11,Column18"
7,0.7692307692307693,"Column3,Column4,Column9,Column15,Column17,Column18,Column21"
15,0.7692307692307693,"Column1,Column2,Column4,Column5,Column6,Column8,Column9,Column10,Column11,Column12,Column15,Column16,Column17,Column19,Column22"
18,0.7362637362637363,"Column1,Column2,Column3,Column4,Column5,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20"
4,0.7802197802197802,"Column4,Column5,Column16,Column21"
16,0.7727272727272727,"Column1,Column2,Column3,Column5,Column6,Column8,Column9,Column10,Column11,Column15,Column16,Column17,Column19,Column20,Column21,Column22"
14,0.7362637362637363,"Column2,Column3,Column6,Column7,Column8,Column10,Column11,Column13,Column14,Column15,Column16,Column18,Column19,Column20"
11,0.7126436781609196,"Column6,Column7,Column8,Column9,Column10,Column14,Column15,Column16,Column18,Column19,Column22"
14,0.8131868131868132,"Column1,Column2,Column3,Column4,Column5,Column9,Column11,Column12,Column14,Column16,Column17,Column18,Column20,Column22"
10,0.7582417582417582,"Column1,Column7,Column8,Column9,Column13,Column14,Column15,Column18,Column20,Column22"
11,0.7444444444444445,"Column2,Column3,Column5,Column6,Column7,Column10,Column12,Column18,Column19,Column20,Column22"
1,0.7802197802197802,"Column10"
1,0.8131868131868132,"Column2"
7,0.7692307692307693,"Column4,Column8,Column9,Column14,Column15,Column16,Column17"
8,0.7802197802197802,"Column2,Column4,Column5,Column7,Column8,Column15,Column17,Column20"
9,0.7142857142857143,"Column1,Column2,Column4,Column5,Column10,Column12,Column15,Column16,Column22"
15,0.8089887640449438,"Column1,Column4,Column5,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column16,Column17,Column18,Column21,Column22"
12,0.7640449438202247,"Column1,Column2,Column4,Column5,Column7,Column9,Column12,Column17,Column18,Column20,Column21,Column22"
2,0.7802197802197802,"Column3,Column7"
7,0.7640449438202247,"Column3,Column5,Column8,Column12,Column15,Column18,Column21"
13,0.7640449438202247,"Column2,Column3,Column5,Column6,Column7,Column11,Column14,Column15,Column17,Column19,Column20,Column21,Column22"
19,0.7142857142857143,"Column1,Column2,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column21,Column22"
16,0.7912087912087912,"Column1,Column3,Column5,Column6,Column7,Column8,Column9,Column12,Column13,Column15,Column16,Column17,Column18,Column19,Column20,Column22"
2,0.7802197802197802,"Column1,Column2"
8,0.7802197802197802,"Column1,Column7,Column10,Column14,Column15,Column18,Column19,Column21"
11,0.7912087912087912,"Column1,Column2,Column3,Column7,Column8,Column9,Column10,Column11,Column13,Column19,Column21"
16,0.7777777777777778,"Column2,Column4,Column5,Column8,Column9,Column10,Column11,Column13,Column14,Column15,Column16,Column17,Column18,Column20,Column21,Column22"
5,0.8241758241758241,"Column3,Column10,Column12,Column21,Column22"
2,0.8021978021978022,"Column8,Column21"
20,0.7472527472527473,"Column1,Column2,Column3,Column4,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22"
16,0.8021978021978022,"Column1,Column2,Column3,Column4,Column5,Column6,Column8,Column9,Column12,Column13,Column14,Column17,Column18,Column19,Column20,Column21"
16,0.7415730337078652,"Column1,Column2,Column3,Column4,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column17,Column18,Column20,Column21,Column22"
6,0.7802197802197802,"Column4,Column5,Column6,Column7,Column10,Column13"
17,0.6853932584269663,"Column1,Column2,Column4,Column5,Column7,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column17,Column19,Column20,Column21,Column22"
5,0.7802197802197802,"Column2,Column9,Column16,Column18,Column21"
5,0.8571428571428571,"Column3,Column4,Column6,Column9,Column14"
16,0.7078651685393258,"Column1,Column2,Column3,Column5,Column7,Column8,Column9,Column10,Column11,Column14,Column16,Column17,Column18,Column19,Column21,Column22"
18,0.7727272727272727,"Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column18,Column19,Column20,Column21"
4,0.7252747252747253,"Column9,Column10,Column11,Column14"
3,0.8131868131868132,"Column2,Column13,Column14"
18,0.7613636363636364,"Column1,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column20,Column21"
10,0.7802197802197802,"Column1,Column4,Column5,Column6,Column14,Column16,Column19,Column20,Column21,Column22"
15,0.7093023255813954,"Column1,Column2,Column4,Column6,Column7,Column9,Column10,Column11,Column12,Column13,Column17,Column18,Column19,Column21,Column22"
15,0.7444444444444445,"Column1,Column2,Column3,Column4,Column6,Column8,Column9,Column10,Column11,Column13,Column15,Column16,Column18,Column19,Column21"
13,0.7692307692307693,"Column4,Column7,Column8,Column9,Column10,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column22"
5,0.7252747252747253,"Column6,Column9,Column14,Column15,Column20"
5,0.8461538461538461,"Column7,Column9,Column11,Column16,Column19"
7,0.7888888888888889,"Column2,Column9,Column14,Column17,Column19,Column20,Column22"
21,0.7303370786516854,"Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column22"
10,0.8202247191011236,"Column5,Column6,Column7,Column8,Column11,Column13,Column15,Column17,Column19,Column21"
13,0.8131868131868132,"Column3,Column4,Column8,Column9,Column10,Column11,Column13,Column14,Column15,Column16,Column17,Column20,Column21"
18,0.7362637362637363,"Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column16,Column17,Column20,Column22"
3,0.7472527472527473,"Column7,Column15,Column21"
11,0.7472527472527473,"Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column17,Column19,Column20"
3,0.7472527472527473,"Column4,Column8,Column15"
19,0.7931034482758621,"Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column10,Column11,Column12,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22"
